id,language,name,shortName
105,en,Computer Networks,comnetworks
244,en,The Camera Never Lies,lyingcamera
938,zh-tw,機器學習基石 (Machine Learning Foundations),ntumlone
2546,fr,"L'Art des Structures 2 : treillis, poutres, dalles et cadres",structures2
2208,en,The Bilingual Brain,bibrain
205,en,Science from Superheroes to Global Warming,scientificthinking
508,de,Einführung in Computer Vision,compvision
765,en,An Introduction to Functional Analysis,functionalanalysis
2076,en,"Wind, Waves and Tides: Alternative Energy Systems",windwavetide
1170,zh-cn,法与社会   Law and Society,sjtula014
1187,zh-cn,粒子世界探秘 Exploring Particle World,sjtujxdepw
1648,en,Circadian clocks: how rhythms structure life,circaclock
2001,zh-cn,论文写作与检索（Academic Writing and Research）,legalresearch
430,en,Global Health: An Interdisciplinary Overview,globalhealthoverview
1680,zh-tw,紅樓夢二──母神崇拜(The Red Chamber Dream 2),rcd2
34,en,Vaccines,vaccines
148,en,Introduction to Computational Finance and Financial Econometrics,compfinance
2570,en,Introduction to Classical Music,introclassicalmusic
161,en,Accountable Talk®: Conversation that Works,accountabletalk
2028,en,Rural Health Nursing,ruralnursing
584,en,Practical tips to improve Asian American participation in cancer clinical trials,clinicaltrials
3536,zh-cn,程序设计与算法（大学先修课）,program
1154,en,Analyzing Global Trends for Business and Society,globaltrends
3187,en,Graphene and 2-dimensional Materials,graphene
44,en,Experimental Genome Science,genomescience
843,en,"Making Better Group Decisions: Voting, Judgement Aggregation and Fair Division",votingfairdiv
2568,en,Curanderismo Part 2: Traditional Healing of the Spirit/Energy,tradhealingspirit
743,en,Introduction to Computational Arts,cdt208
1403,en,Chemicals and Health,chemhealth
1520,en,Introduction to the Science of Cancer,cancer
204,en,The Fiction of Relationship,relationship
1488,en,The Art of Teaching History: A Global Conversation for Secondary Educators ,teachinghist
2959,en,Deafness in the 21st Century,deafness
12,en,Introduction to Databases,db
382,en,Interprofessional Healthcare Informatics ,newwayhealthcare
3077,en,Ancient Egypt: A history in six objects,ancientegypt
3663,en,MRI Fundamentals,mrifundamentals
1733,fr,"Le Bien, le Juste, l'Utile. Introduction aux éthiques philosophiques",ethique
1332,en,"Shaping the Way We Teach English, 1: The Landscape of English Language Teaching",shaping1landscape
2706,en,"Engineering Life: Synbio, Bioethics & Public Policy",synbioethics
236,en,Fundamentals of Human Nutrition,humannutrition
704,en,Inquiry Science Learning: Perspectives and Practices 3 - Science Content Survey,scicontentsurvey
2478,en,Scientific Humanities,sh
2624,en,Programming Mobile Services for Android Handheld Systems: Communication,posacommunication
1117,en,Logic: Language and Information 1,logic1
81,en,Galaxies and Cosmology,cosmo
736,en,Fundamentals of Electrical Engineering Laboratory,eefunlab
1349,en,University Teaching 101,univteaching101
1542,en,Information and Communication Technology (ICT) Accessibility ,digitalaccessibility
880,en,Introduction to Forensic Science,ntufsc
434,zh-tw,機率 (Probability),prob
2378,en,Healthcare Data Visualization,healthdatavisual
208,en,Intermediate Algebra,algebra
599,en,"Science, Technology, and Society in China III: The Present & Policy Implications",stschina3
1376,zh-cn,程序设计实习 / Practice on Programming,pkupop
863,en,Dino 101: Dinosaur Paleobiology,dino101
3219,en,"Understanding China, 1700-2000: A Data Analytic Approach, Part 2",newchinahistory2
477,en,How Green Is That Product? An Introduction to Life Cycle Environmental Assessment,introtolca
494,en,From the Repertoire: Western Music History through Performance,musichistoryperforms
1080,en,Latin American Migration,latinmigration
2632,en,Spacebooks. An Introduction To Extraterrestrial Literature,spacebooks
367,en,Computational Molecular Evolution,molevol
103,en,Information Security and Risk Management in Context,inforiskman
1162,en,Sports and Building Aerodynamics,spobuildaerodynamics
91,en,Analytical Chemistry / Instrumental Analysis,analyticalchem
1838,en,"GPS: An Introduction to Satellite Navigation, with an interactive Worldwide Laboratory using Smartphones",gpslab
1149,en,Core Concepts in Data Analysis,datan
964,en,Introduction to Household Water Treatment and Safe Storage,hwts
1293,en,The Changing Global Order,globalorder
198,en,Coding the Matrix: Linear Algebra through Computer Science Applications,matrix
462,en,Analyzing the Universe,analyze
1171,zh-cn,数学之旅 The Journey of Mathematics,sjtuma153
130,en,VLSI CAD:  Logic to Layout,vlsicad
1213,en,Assessment and Teaching of 21st Century Skills,atc21s
1044,en,Genomic and Precision Medicine,genomicmedicine
278,en,Social Psychology,socialpsychology
455,zh-tw,中國古代歷史與人物－－秦始皇,chinesehistory
223,en,Linear and Discrete Optimization,linearopt
1775,en,Interactive Computer Graphics with WebGL,webgl
2633,en,Big Data Science with the BD2K-LINCS Data Coordination and Integration Center,bd2klincs
1250,en,Enhance Your Career and Employability Skills,career
1496,en,Introduction to Acoustics (Part 1),acoustics1
167,en,Women and the Civil Rights Movement,womencivilrights
1973,en,The Caltech-JPL Summer School on Big Data Analytics,bigdataschool
35,en,Fundamentals of Pharmacology,pharm101
1562,en,Geodesign: Change Your World,geodesign
1948,en,Preparing for the AP* Calculus AB and BC Exams (Part 1 - Differential Calculus),apcalcpart1
2614,en,Applied Logistic Regression,logisticregression
1166,en,The Clinical Psychology of Children and Young People,clinicalpsych
589,en,"Sleep: Neurobiology, Medicine, and Society",sleep
